Date,Cases
2020-05-20,243
2020-05-19,254
2020-05-18,284
2020-05-17,153
2020-05-16,174
2020-05-15,210
2020-05-14,217
2020-05-13,329
2020-05-12,315
2020-05-11,390
2020-05-10,208
2020-05-09,203
2020-05-08,229
2020-05-07,396
2020-05-06,388
2020-05-05,331
2020-05-04,391
2020-05-03,317
2020-05-02,302
2020-05-01,494
2020-04-30,424
2020-04-29,473
2020-04-28,464
2020-04-27,511
2020-04-26,358
2020-04-25,377
2020-04-24,422
2020-04-23,475
2020-04-22,522
2020-04-21,406
2020-04-20,362
2020-04-19,317
2020-04-18,329
2020-04-17,365
2020-04-16,336
2020-04-15,296
2020-04-14,289
2020-04-13,292
2020-04-12,260
2020-04-11,271
2020-04-10,319
2020-04-09,325
2020-04-08,409
2020-04-07,389
2020-04-06,385
2020-04-05,281
2020-04-04,269
2020-04-03,352
2020-04-02,372
2020-04-01,333
2020-03-31,322
2020-03-30,300
2020-03-29,209
2020-03-28,183
2020-03-27,243
2020-03-26,216
2020-03-25,188
2020-03-24,165
2020-03-23,195
2020-03-22,92
2020-03-21,76
2020-03-20,71
2020-03-19,56
2020-03-18,74
2020-03-17,38
2020-03-16,23
2020-03-15,35
2020-03-14,16
2020-03-13,37
2020-03-12,18
2020-03-11,14
2020-03-10,16
2020-03-09,4
2020-03-08,2
2020-03-07,3
2020-03-06,5
2020-03-05,1
2020-03-04,7
2020-03-03,7
2020-03-02,0
2020-03-01,1
2020-02-29,0
2020-02-28,2
2020-02-27,1
2020-02-26,1
2020-09-29,3
2020-09-28,196
2020-09-27,301
2020-09-26,422
2020-09-25,483
2020-09-24,503
2020-09-23,512
2020-09-22,535
2020-09-21,426
2020-09-20,413
2020-09-19,358
2020-09-18,381
2020-09-17,317
2020-09-16,299
2020-09-15,268
2020-09-14,296
2020-09-13,115
2020-09-12,230
2020-09-11,321
2020-09-10,393
2020-09-09,335
2020-09-08,331
2020-09-07,450
2020-09-06,204
2020-09-05,272
2020-09-04,355
2020-09-03,347
2020-09-02,334
2020-09-01,308
2020-08-31,214
2020-08-30,130
2020-08-29,137
2020-08-28,221
2020-08-27,229
2020-08-26,164
2020-08-25,169
2020-08-24,196
2020-08-23,143
2020-08-22,118
2020-08-21,167
2020-08-20,203
2020-08-19,151
2020-08-18,182
2020-08-17,189
2020-08-16,87
2020-08-15,105
2020-08-14,127
2020-08-13,124
2020-08-12,157
2020-08-11,149
2020-08-10,142
2020-08-09,67
2020-08-08,55
2020-08-07,122
2020-08-06,103
2020-08-05,114
2020-08-04,104
2020-08-03,87
2020-08-02,76
2020-08-01,58
2020-07-31,73
2020-07-30,102
2020-07-29,98
2020-07-28,99
2020-07-27,100
2020-07-26,65
2020-07-25,55
2020-07-24,83
2020-07-23,71
2020-07-22,81
2020-07-21,82
2020-07-20,97
2020-07-19,41
2020-07-18,48
2020-07-17,48
2020-07-16,70
2020-07-15,76
2020-07-14,62
2020-07-13,85
2020-07-12,37
2020-07-11,19
2020-07-10,40
2020-07-09,54
2020-07-08,57
2020-07-07,61
2020-07-06,53
2020-07-05,51
2020-07-04,32
2020-07-03,38
2020-07-02,40
2020-07-01,42
2020-06-30,52
2020-06-29,58
2020-06-28,22
2020-06-27,32
2020-06-26,48
2020-06-25,57
2020-06-24,46
2020-06-23,49
2020-06-22,51
2020-06-21,27
2020-06-20,28
2020-06-19,37
2020-06-18,46
2020-06-17,43
2020-06-16,46
2020-06-15,41
2020-06-14,31
2020-06-13,39
2020-06-12,53
2020-06-11,47
2020-06-10,53
2020-06-09,71
2020-06-08,56
2020-06-07,45
2020-06-06,46
2020-06-05,47
2020-06-04,57
2020-06-03,79
2020-06-02,49
2020-06-01,49
2020-05-31,38
2020-05-30,39
2020-05-29,57
2020-05-28,74
2020-05-27,84
2020-05-26,66
2020-05-25,57
2020-05-24,50
2020-05-23,65
2020-05-22,85
2020-05-21,158
2020-05-20,144
2020-05-19,131
2020-05-18,111
2020-05-17,79
2020-05-16,74
2020-05-15,131
2020-05-14,157
2020-05-13,204
2020-05-12,194
2020-05-11,159
2020-05-10,124
2020-05-09,128
2020-05-08,206
2020-05-07,271
2020-05-06,266
2020-05-05,220
2020-05-04,244
2020-05-03,168
2020-05-02,249
2020-05-01,356
2020-04-30,424
2020-04-29,431
2020-04-28,311
2020-04-27,418
2020-04-26,310
2020-04-25,333
2020-04-24,379
2020-04-23,523
2020-04-22,397
2020-04-21,468
2020-04-20,437
2020-04-19,396
2020-04-18,401
2020-04-17,580
2020-04-16,578
2020-04-15,659
2020-04-14,605
2020-04-13,603
2020-04-12,500
2020-04-11,520
2020-04-10,614
2020-04-09,798
2020-04-08,875
2020-04-07,953
2020-04-06,861
2020-04-05,634
2020-04-04,765
2020-04-03,983
2020-04-02,1070
2020-04-01,979
2020-03-31,936
2020-03-30,870
2020-03-29,594
2020-03-28,577
2020-03-27,822
2020-03-26,766
2020-03-25,758
2020-03-24,637
2020-03-23,689
2020-03-22,437
2020-03-21,351
2020-03-20,426
2020-03-19,333
2020-03-18,356
2020-03-17,310
2020-03-16,234
2020-03-15,165
2020-03-14,149
2020-03-13,136
2020-03-12,165
2020-03-11,183
2020-03-10,91
2020-03-09,53
2020-03-08,22
2020-03-07,14
2020-03-06,23
2020-03-05,14
2020-03-04,18
2020-03-03,6
2020-03-02,12
2020-03-01,4
2020-02-29,1
2020-02-28,3
2020-02-27,2
2020-02-26,2
2020-02-25,3
2020-02-24,1
2020-02-23,0
2020-02-22,0
2020-02-21,0
2020-02-20,0
2020-02-19,0
2020-02-18,0
2020-02-17,0
2020-02-16,0
2020-02-15,0
2020-02-14,0
2020-02-13,0
2020-02-12,0
2020-02-11,1
2020-09-29,16
2020-09-28,416
2020-09-27,425
2020-09-26,522
2020-09-25,503
2020-09-24,527
2020-09-23,607
2020-09-22,533
2020-09-21,596
2020-09-20,568
2020-09-19,424
2020-09-18,460
2020-09-17,369
2020-09-16,320
2020-09-15,262
2020-09-14,196
2020-09-13,145
2020-09-12,152
2020-09-11,195
2020-09-10,237
2020-09-09,236
2020-09-08,224
2020-09-07,202
2020-09-06,173
2020-09-05,231
2020-09-04,173
2020-09-03,201
2020-09-02,132
2020-09-01,117
2020-08-31,91
2020-08-30,59
2020-08-29,78
2020-08-28,66
2020-08-27,66
2020-08-26,69
2020-08-25,49
2020-08-24,39
2020-08-23,23
2020-08-22,33
2020-08-21,42
2020-08-20,44
2020-08-19,46
2020-08-18,36
2020-08-17,32
2020-08-16,11
2020-08-15,18
2020-08-14,31
2020-08-13,53
2020-08-12,39
2020-08-11,45
2020-08-10,21
2020-08-09,15
2020-08-08,12
2020-08-07,15
2020-08-06,24
2020-08-05,30
2020-08-04,20
2020-08-03,19
2020-08-02,16
2020-08-01,9
2020-07-31,12
2020-07-30,15
2020-07-29,21
2020-07-28,5
2020-07-27,9
2020-07-26,6
2020-07-25,5
2020-07-24,7
2020-07-23,8
2020-07-22,16
2020-07-21,14
2020-07-20,11
2020-07-19,7
2020-07-18,4
2020-07-17,10
2020-07-16,15
2020-07-15,16
2020-07-14,12
2020-07-13,8
2020-07-12,3
2020-07-11,7
2020-07-10,10
2020-07-09,17
2020-07-08,12
2020-07-07,12
2020-07-06,11
2020-07-05,4
2020-07-04,9
2020-07-03,8
2020-07-02,9
2020-07-01,7
2020-06-30,11
2020-06-29,11
2020-06-28,9
2020-06-27,14
2020-06-26,8
2020-06-25,12
2020-06-24,11
2020-06-23,26
2020-06-22,24
2020-06-21,4
2020-06-20,17
2020-06-19,14
2020-06-18,23
2020-06-17,19
2020-06-16,18
2020-06-15,32
2020-06-14,31
2020-06-13,31
2020-06-12,40
2020-06-11,23
2020-06-10,37
2020-06-09,40
2020-06-08,33
2020-06-07,17
2020-06-06,28
2020-06-05,42
2020-06-04,59
2020-06-03,51
2020-06-02,59
2020-06-01,70
2020-05-31,46
2020-05-30,47
2020-05-29,70
2020-05-28,49
2020-05-27,115
2020-05-26,100
2020-05-25,59
2020-05-24,77
2020-05-23,76
2020-05-22,95
2020-05-21,130
2020-05-20,131
2020-05-19,124
2020-05-18,147
2020-05-17,98
2020-05-16,126
2020-05-15,137
2020-05-14,139
2020-05-13,143
2020-05-12,220
2020-05-11,229
2020-05-10,150
2020-05-09,151
2020-05-08,158
2020-05-07,199
2020-05-06,243
2020-05-05,252
2020-05-04,234
2020-05-03,162
2020-05-02,183
2020-05-01,273
2020-04-30,384
2020-04-29,359
2020-04-28,361
2020-04-27,282
2020-04-26,159
2020-04-25,215
2020-04-24,332
2020-04-23,332
2020-04-22,361
2020-04-21,288
2020-04-20,315
2020-04-19,276
2020-04-18,379
2020-04-17,293
2020-04-16,295
2020-04-15,284
2020-04-14,257
2020-04-13,232
2020-04-12,201
2020-04-11,267
2020-04-10,245
2020-04-09,314
2020-04-08,291
2020-04-07,351
2020-04-06,375
2020-04-05,221
2020-04-04,254
2020-04-03,261
2020-04-02,219
2020-04-01,308
2020-03-31,210
2020-03-30,176
2020-03-29,107
2020-03-28,113
2020-03-27,102
2020-03-26,97
2020-03-25,76
2020-03-24,76
2020-03-23,58
2020-03-22,20
2020-03-21,23
2020-03-20,26
2020-03-19,19
2020-03-18,14
2020-03-17,16
2020-03-16,7
2020-03-15,10
2020-03-14,6
2020-03-13,6
2020-03-12,2
2020-03-11,1
2020-03-10,4
2020-03-09,3
2020-03-08,0
2020-03-07,2
2020-03-06,1
2020-03-05,2
2020-03-04,1
2020-03-03,0
2020-03-02,1
2020-09-29,8
2020-09-28,1273
2020-09-27,1158
2020-09-26,1372
2020-09-25,1615
2020-09-24,1833
2020-09-23,1740
2020-09-22,1822
2020-09-21,1401
2020-09-20,1382
2020-09-19,1448
2020-09-18,1393
2020-09-17,1384
2020-09-16,1432
2020-09-15,1072
2020-09-14,1045
2020-09-13,606
2020-09-12,754
2020-09-11,873
2020-09-10,905
2020-09-09,829
2020-09-08,856
2020-09-07,951
2020-09-06,572
2020-09-05,530
2020-09-04,631
2020-09-03,622
2020-09-02,659
2020-09-01,445
2020-08-31,261
2020-08-30,256
2020-08-29,245
2020-08-28,358
2020-08-27,288
2020-08-26,284
2020-08-25,212
2020-08-24,231
2020-08-23,117
2020-08-22,173
2020-08-21,209
2020-08-20,224
2020-08-19,254
2020-08-18,192
2020-08-17,282
2020-08-16,115
2020-08-15,156
2020-08-14,240
2020-08-13,236
2020-08-12,275
2020-08-11,310
2020-08-10,358
2020-08-09,159
2020-08-08,214
2020-08-07,239
2020-08-06,278
2020-08-05,261
2020-08-04,278
2020-08-03,300
2020-08-02,166
2020-08-01,158
2020-07-31,179
2020-07-30,222
2020-07-29,288
2020-07-28,200
2020-07-27,190
2020-07-26,158
2020-07-25,137
2020-07-24,158
2020-07-23,183
2020-07-22,208
2020-07-21,156
2020-07-20,164
2020-07-19,93
2020-07-18,106
2020-07-17,110
2020-07-16,150
2020-07-15,146
2020-07-14,109
2020-07-13,105
2020-07-12,54
2020-07-11,77
2020-07-10,87
2020-07-09,129
2020-07-08,115
2020-07-07,94
2020-07-06,142
2020-07-05,115
2020-07-04,71
2020-07-03,96
2020-07-02,97
2020-07-01,113
2020-06-30,103
2020-06-29,123
2020-06-28,95
2020-06-27,93
2020-06-26,105
2020-06-25,126
2020-06-24,159
2020-06-23,127
2020-06-22,159
2020-06-21,100
2020-06-20,118
2020-06-19,164
2020-06-18,178
2020-06-17,184
2020-06-16,211
2020-06-15,165
2020-06-14,148
2020-06-13,128
2020-06-12,168
2020-06-11,177
2020-06-10,224
2020-06-09,218
2020-06-08,165
2020-06-07,130
2020-06-06,131
2020-06-05,205
